Number,A,B',B'',X,r_A,r_B',r_B'',r_X,χ_A,χ_B',χ_B'',χ_X,Formula,Formation energy per atom,Bandgap
400,Cs,N,Na,Cl,1.88,0.16,1.02,1.81,0.79,3.04,0.93,3.16,Cs2NNaCl6,-0.898455971,1.294
489,Cs,N,Na,Br,1.88,0.16,1.02,1.96,0.79,3.04,0.93,2.96,Cs2NNaBr6,-0.766597037,0.796
580,Cs,N,Na,I,1.88,0.16,1.02,2.20,0.79,3.04,0.93,2.66,Cs2NNaI6,-0.576691272,0.31
924,K,N,Na,F,1.64,0.16,1.02,1.33,0.82,3.04,0.93,3.98,K2NNaF6,-1.924024933,2.948
1161,K,N,Na,Cl,1.64,0.16,1.02,1.81,0.82,3.04,0.93,3.16,K2NNaCl6,-0.858418656,1.305
1392,K,N,Na,I,1.64,0.16,1.02,2.20,0.82,3.04,0.93,2.66,K2NNaI6,-0.498764882,0.252
1443,K,N,Tl,Br,1.64,0.16,1.50,1.96,0.82,3.04,1.62,2.96,K2NTlBr6,-0.602955981,0.047
1447,K,N,Tl,I,1.64,0.16,1.50,2.20,0.82,3.04,1.62,2.66,K2NTlI6,-0.407625116,0.028
2063,Na,N,Tl,F,1.39,0.16,1.50,1.33,0.93,3.04,1.62,3.98,Na2NTlF6,-1.53331113,0.47
2159,Na,N,Tl,Br,1.39,0.16,1.50,1.96,0.93,3.04,1.62,2.96,Na2NTlBr6,-0.423818169,0.045
2167,Na,N,Tl,I,1.39,0.16,1.50,2.20,0.93,3.04,1.62,2.66,Na2NTlI6,-0.231486304,0.032
2492,Rb,N,Na,F,1.72,0.16,1.02,1.33,0.82,3.04,0.93,3.98,Rb2NNaF6,-1.909210908,2.901
2718,Rb,N,Na,Cl,1.72,0.16,1.02,1.81,0.82,3.04,0.93,3.16,Rb2NNaCl6,-0.880377131,1.306
2818,Rb,N,Tl,F,1.72,0.16,1.50,1.33,0.82,3.04,1.62,3.98,Rb2NTlF6,-1.696857166,0.843
2837,Rb,N,Na,Br,1.72,0.16,1.02,1.96,0.82,3.04,0.93,2.96,Rb2NNaBr6,-0.737429197,0.76
2945,Rb,N,Na,I,1.72,0.16,1.02,2.20,0.82,3.04,0.93,2.66,Rb2NNaI6,-0.535574882,0.284
3013,Rb,N,Tl,Br,1.72,0.16,1.50,1.96,0.82,3.04,1.62,2.96,Rb2NTlBr6,-0.636175705,0.043
3376,Tl,N,Na,F,1.70,0.16,1.02,1.33,1.62,3.04,0.93,3.98,Tl2NNaF6,-1.457650639,2.075
3489,Tl,N,Na,Cl,1.70,0.16,1.02,1.81,1.62,3.04,0.93,3.16,Tl2NNaCl6,-0.462296862,1.34
3578,Tl,N,Na,Br,1.70,0.16,1.02,1.96,1.62,3.04,0.93,2.96,Tl2NNaBr6,-0.332451678,0.718
3674,Tl,N,Na,I,1.70,0.16,1.02,2.20,1.62,3.04,0.93,2.66,Tl2NNaI6,-0.142466263,0.227
1,Cs,B,Cu,Cl,1.88,0.27,0.77,1.81,0.79,2.04,1.9,3.16,Cs2BCuCl6,-0.802805555,9.999
240,Cs,B,Tl,Cl,1.88,0.27,1.50,1.81,0.79,2.04,1.62,3.16,Cs2BTlCl6,-1.04736818,2.634
278,Cs,B,Na,Cl,1.88,0.27,1.02,1.81,0.79,2.04,0.93,3.16,Cs2BNaCl6,-1.193908921,2.261
297,Cs,B,Li,Cl,1.88,0.27,0.76,1.81,0.79,2.04,0.98,3.16,Cs2BLiCl6,-1.159302686,2.115
416,Cs,B,Cu,F,1.88,0.27,0.77,1.33,0.79,2.04,1.9,3.98,Cs2BCuF6,-2.143004831,1.192
453,Cs,B,Na,Br,1.88,0.27,1.02,1.96,0.79,2.04,0.93,2.96,Cs2BNaBr6,-0.925265987,0.975
479,Cs,B,Li,Br,1.88,0.27,0.76,1.96,0.79,2.04,0.98,2.96,Cs2BLiBr6,-0.895149502,0.843
654,K,B,Li,F,1.64,0.27,0.76,1.33,0.82,2.04,0.98,3.98,K2BLiF6,-2.727696898,7.164
662,K,B,Na,F,1.64,0.27,1.02,1.33,0.82,2.04,0.93,3.98,K2BNaF6,-2.722180133,6.678
994,K,B,Tl,Cl,1.64,0.27,1.50,1.81,0.82,2.04,1.62,3.16,K2BTlCl6,-0.979263615,2.43
1005,K,B,Na,Cl,1.64,0.27,1.02,1.81,0.82,2.04,0.93,3.16,K2BNaCl6,-1.164370106,2.35
1037,K,B,Li,Cl,1.64,0.27,0.76,1.81,0.82,2.04,0.98,3.16,K2BLiCl6,-1.157108621,2.12
1113,K,B,Tl,F,1.64,0.27,1.50,1.33,0.82,2.04,1.62,3.98,K2BTlF6,-1.901910391,1.59
1138,K,B,Tl,Br,1.64,0.27,1.50,1.96,0.82,2.04,1.62,2.96,K2BTlBr6,-0.67547868,1.462
1189,K,B,Cu,F,1.64,0.27,0.77,1.33,0.82,2.04,1.9,3.98,K2BCuF6,-2.249813016,1.149
1229,K,B,Na,Br,1.64,0.27,1.02,1.96,0.82,2.04,0.93,2.96,K2BNaBr6,-0.869275172,0.963
1289,K,B,Li,Br,1.64,0.27,0.76,1.96,0.82,2.04,0.98,2.96,K2BLiBr6,-0.859119437,0.694
1488,Na,B,Li,F,1.39,0.27,0.76,1.33,0.93,2.04,0.98,3.98,Na2BLiF6,-2.733552337,7.128
1520,Na,B,Tl,F,1.39,0.27,1.50,1.33,0.93,2.04,1.62,3.98,Na2BTlF6,-2.30091008,4.192
1762,Na,B,Tl,Cl,1.39,0.27,1.50,1.81,0.93,2.04,1.62,3.16,Na2BTlCl6,-0.805469303,2.231
1931,Na,B,Tl,Br,1.39,0.27,1.50,1.96,0.93,2.04,1.62,2.96,Na2BTlBr6,-0.543527869,1.218
1937,Na,B,Li,Cl,1.39,0.27,0.76,1.81,0.93,2.04,0.98,3.16,Na2BLiCl6,-0.89950806,1.153
2010,Na,B,Li,Br,1.39,0.27,0.76,1.96,0.93,2.04,0.98,2.96,Na2BLiBr6,-0.711417126,0.722
2026,Na,B,Cu,F,1.39,0.27,0.77,1.33,0.93,2.04,1.9,3.98,Na2BCuF6,-2.194187955,0.667
2107,Na,B,Tl,I,1.39,0.27,1.50,2.20,0.93,2.04,1.62,2.66,Na2BTlI6,-0.207411079,0.265
2204,Rb,B,Li,F,1.72,0.27,0.76,1.33,0.82,2.04,0.98,3.98,Rb2BLiF6,-2.662840373,6.664
2550,Rb,B,Tl,Cl,1.72,0.27,1.50,1.81,0.82,2.04,1.62,3.16,Rb2BTlCl6,-1.013276339,2.498
2572,Rb,B,Na,Cl,1.72,0.27,1.02,1.81,0.82,2.04,0.93,3.16,Rb2BNaCl6,-1.182296831,2.321
2599,Rb,B,Li,Cl,1.72,0.27,0.76,1.81,0.82,2.04,0.98,3.16,Rb2BLiCl6,-1.163227846,2.123
2689,Rb,B,Tl,F,1.72,0.27,1.50,1.33,0.82,2.04,1.62,3.98,Rb2BTlF6,-1.996279866,1.516
2700,Rb,B,Tl,Br,1.72,0.27,1.50,1.96,0.82,2.04,1.62,2.96,Rb2BTlBr6,-0.757808905,1.435
2752,Rb,B,Cu,F,1.72,0.27,0.77,1.33,0.82,2.04,1.9,3.98,Rb2BCuF6,-2.205330991,1.138
2783,Rb,B,Na,Br,1.72,0.27,1.02,1.96,0.82,2.04,0.93,2.96,Rb2BNaBr6,-0.897506647,0.981
2847,Rb,B,Li,Br,1.72,0.27,0.76,1.96,0.82,2.04,0.98,2.96,Rb2BLiBr6,-0.878706412,0.718
3075,Tl,B,Li,F,1.70,0.27,0.76,1.33,1.62,2.04,0.98,3.98,Tl2BLiF6,-2.213451354,4.223
3077,Tl,B,Na,F,1.70,0.27,1.02,1.33,1.62,2.04,0.93,3.98,Tl2BNaF6,-2.242883838,4.213
3177,Tl,B,Hg,F,1.70,0.27,1.19,1.33,1.62,2.04,2,3.98,Tl2BHgF6,-1.791503987,3.237
3324,Tl,B,Na,Cl,1.70,0.27,1.02,1.81,1.62,2.04,0.93,3.16,Tl2BNaCl6,-0.769112562,2.414
3422,Tl,B,Cu,F,1.70,0.27,0.77,1.33,1.62,2.04,1.9,3.98,Tl2BCuF6,-1.767790972,1.797
3529,Tl,B,Na,Br,1.70,0.27,1.02,1.96,1.62,2.04,0.93,2.96,Tl2BNaBr6,-0.496680627,0.988
3565,Tl,B,Li,Cl,1.70,0.27,0.76,1.81,1.62,2.04,0.98,3.16,Tl2BLiCl6,-0.629250827,0.755
3570,Tl,B,Li,Br,1.70,0.27,0.76,1.96,1.62,2.04,0.98,2.96,Tl2BLiBr6,-0.488861643,0.74
286,Cs,P,Tl,F,1.88,0.44,1.50,1.33,0.79,2.19,1.62,3.98,Cs2PTlF6,-2.347586435,2.181
451,Cs,P,Tl,Br,1.88,0.44,1.50,1.96,0.79,2.19,1.62,2.96,Cs2PTlBr6,-1.011241974,0.985
493,Cs,P,Tl,I,1.88,0.44,1.50,2.20,0.79,2.19,1.62,2.66,Cs2PTlI6,-0.744394459,0.782
1028,K,P,Tl,F,1.64,0.44,1.50,1.33,0.82,2.19,1.62,3.98,K2PTlF6,-2.29014487,2.193
1212,K,P,Tl,Cl,1.64,0.44,1.50,1.81,0.82,2.19,1.62,3.16,K2PTlCl6,-1.110950843,1.058
1272,K,P,Tl,Br,1.64,0.44,1.50,1.96,0.82,2.19,1.62,2.96,K2PTlBr6,-0.913347909,0.761
1295,K,P,Tl,I,1.64,0.44,1.50,2.20,0.82,2.19,1.62,2.66,K2PTlI6,-0.640821644,0.673
1860,Na,P,Tl,F,1.39,0.44,1.50,1.33,0.93,2.19,1.62,3.98,Na2PTlF6,-2.115333308,1.638
1960,Na,P,Tl,Cl,1.39,0.44,1.50,1.81,0.93,2.19,1.62,3.16,Na2PTlCl6,-0.921724281,1
2029,Na,P,Tl,Br,1.39,0.44,1.50,1.96,0.93,2.19,1.62,2.96,Na2PTlBr6,-0.723426347,0.636
2042,Na,P,Tl,I,1.39,0.44,1.50,2.20,0.93,2.19,1.62,2.66,Na2PTlI6,-0.450097907,0.552
2587,Rb,P,Tl,F,1.72,0.44,1.50,1.33,0.82,2.19,1.62,3.98,Rb2PTlF6,-2.321203594,2.207
2757,Rb,P,Tl,Cl,1.72,0.44,1.50,1.81,0.82,2.19,1.62,3.16,Rb2PTlCl6,-1.154862318,1.122
2823,Rb,P,Tl,Br,1.72,0.44,1.50,1.96,0.82,2.19,1.62,2.96,Rb2PTlBr6,-0.958773383,0.821
2862,Rb,P,Tl,I,1.72,0.44,1.50,2.20,0.82,2.19,1.62,2.66,Rb2PTlI6,-0.687924118,0.657
9,Cs,Be,Sr,F,1.88,0.45,1.18,1.33,0.79,1.57,0.95,3.98,Cs2BeSrF6,-3.193432651,6.963
62,Cs,Be,Mg,F,1.88,0.45,0.720,1.33,0.79,1.57,1.31,3.98,Cs2BeMgF6,-2.848584184,4.835
63,Cs,Be,Sr,Cl,1.88,0.45,1.18,1.81,0.79,1.57,0.95,3.16,Cs2BeSrCl6,-1.834087624,4.803
71,Cs,Be,Ca,Cl,1.88,0.45,1.00,1.81,0.79,1.57,1,3.16,Cs2BeCaCl6,-1.813110726,4.627
74,Cs,Be,Ge,F,1.88,0.45,0.73,1.33,0.79,1.57,2.01,3.98,Cs2BeGeF6,-2.604660863,4.532
111,Cs,Be,Zn,F,1.88,0.45,0.740,1.33,0.79,1.57,1.65,3.98,Cs2BeZnF6,-2.617643216,4.051
159,Cs,Be,Sr,Br,1.88,0.45,1.18,1.96,0.79,1.57,0.95,2.96,Cs2BeSrBr6,-1.54718019,3.447
169,Cs,Be,Pb,Cl,1.88,0.45,1.19,1.81,0.79,1.57,2.33,3.16,Cs2BePbCl6,-1.439493544,3.331
185,Cs,Be,Ca,Br,1.88,0.45,1.00,1.96,0.79,1.57,1,2.96,Cs2BeCaBr6,-1.522245542,3.215
203,Cs,Be,Mg,Cl,1.88,0.45,0.720,1.81,0.79,1.57,1.31,3.16,Cs2BeMgCl6,-1.604103408,3.088
231,Cs,Be,Ge,Cl,1.88,0.45,0.73,1.81,0.79,1.57,2.01,3.16,Cs2BeGeCl6,-1.322148586,2.697
234,Cs,Be,Sn,Cl,1.88,0.45,1.0,1.81,0.79,1.57,1.96,3.16,Cs2BeSnCl6,-1.396416751,2.681
249,Cs,Be,Pb,Br,1.88,0.45,1.19,1.96,0.79,1.57,2.33,2.96,Cs2BePbBr6,-1.18557861,2.532
254,Cs,Be,Ni,Cl,1.88,0.45,0.690,1.81,0.79,1.57,1.91,3.16,Cs2BeNiCl6,-1.144659569,2.482
282,Cs,Be,Hg,F,1.88,0.45,1.02,1.33,0.79,1.57,2,3.98,Cs2BeHgF6,-2.445404874,2.223
293,Cs,Be,Mn,Cl,1.88,0.45,0.67,1.81,0.79,1.57,1.55,3.16,Cs2BeMnCl6,-1.377936602,2.136
303,Cs,Be,Sr,I,1.88,0.45,1.18,2.20,0.79,1.57,0.95,2.66,Cs2BeSrI6,-1.159162675,2.056
309,Cs,Be,Sn,Br,1.88,0.45,1.0,1.96,0.79,1.57,1.96,2.96,Cs2BeSnBr6,-1.145297567,2.008
312,Cs,Be,Ge,Br,1.88,0.45,0.73,1.96,0.79,1.57,2.01,2.96,Cs2BeGeBr6,-1.075603402,1.976
320,Cs,Be,Cd,Cl,1.88,0.45,0.95,1.81,0.79,1.57,1.69,3.16,Cs2BeCdCl6,-1.386906471,1.864
333,Cs,Be,Ca,I,1.88,0.45,1.00,2.20,0.79,1.57,1,2.66,Cs2BeCaI6,-1.129396777,1.796
345,Cs,Be,Mg,Br,1.88,0.45,0.720,1.96,0.79,1.57,1.31,2.96,Cs2BeMgBr6,-1.313437973,1.656
352,Cs,Be,Zn,Cl,1.88,0.45,0.740,1.81,0.79,1.57,1.65,3.16,Cs2BeZnCl6,-1.345189939,1.606
379,Cs,Be,Pb,I,1.88,0.45,1.19,2.20,0.79,1.57,2.33,2.66,Cs2BePbI6,-0.799188095,1.427
387,Cs,Be,Ni,Br,1.88,0.45,0.690,1.96,0.79,1.57,1.91,2.96,Cs2BeNiBr6,-0.898148385,1.392
397,Cs,Be,Tm,Cl,1.88,0.45,1.03,1.81,0.79,1.57,1.25,3.16,Cs2BeTmCl6,-1.63459191,1.309
410,Cs,Be,Sn,I,1.88,0.45,1.0,2.20,0.79,1.57,1.96,2.66,Cs2BeSnI6,-0.805564052,1.229
413,Cs,Be,Dy,Cl,1.88,0.45,1.07,1.81,0.79,1.57,1.22,3.16,Cs2BeDyCl6,-1.628056065,1.209
420,Cs,Be,Mn,Br,1.88,0.45,0.67,1.96,0.79,1.57,1.55,2.96,Cs2BeMnBr6,-1.107263168,1.17
424,Cs,Be,Ge,I,1.88,0.45,0.73,2.20,0.79,1.57,2.01,2.66,Cs2BeGeI6,-0.738507387,1.147
433,Cs,Be,Dy,Br,1.88,0.45,1.07,1.96,0.79,1.57,1.22,2.96,Cs2BeDyBr6,-1.371767131,1.072
508,Cs,Be,Hg,Cl,1.88,0.45,1.02,1.81,0.79,1.57,2,3.16,Cs2BeHgCl6,-1.233776347,0.698
509,Cs,Be,Cd,Br,1.88,0.45,0.95,1.96,0.79,1.57,1.69,2.96,Cs2BeCdBr6,-1.132549287,0.692
566,Cs,Be,Mg,I,1.88,0.45,0.720,2.20,0.79,1.57,1.31,2.66,Cs2BeMgI6,-0.925473708,0.39
588,Cs,Be,Fe,Br,1.88,0.45,0.61,1.96,0.79,1.57,1.83,2.96,Cs2BeFeBr6,-0.952056861,0.248
601,Cs,Be,Mn,I,1.88,0.45,0.67,2.20,0.79,1.57,1.55,2.66,Cs2BeMnI6,-0.742572403,0.199
603,Cs,Be,V,Br,1.88,0.45,0.79,1.96,0.79,1.57,1.63,2.96,Cs2BeVBr6,-1.080418698,0.195
630,Cs,Be,Cr,I,1.88,0.45,0.73,2.20,0.79,1.57,1.66,2.66,Cs2BeCrI6,-0.693296803,0.027
643,Cs,Be,Np,Cl,1.88,0.45,1.10,1.81,0.79,1.57,1.36,3.16,Cs2BeNpCl6,-1.417652531,0.004
653,K,Be,Mg,F,1.64,0.45,0.720,1.33,0.82,1.57,1.31,3.98,K2BeMgF6,-3.178939369,7.355
656,K,Be,Ca,F,1.64,0.45,1.00,1.33,0.82,1.57,1,3.98,K2BeCaF6,-3.279398938,6.963
666,K,Be,Sr,F,1.64,0.45,1.18,1.33,0.82,1.57,0.95,3.98,K2BeSrF6,-3.236137336,6.383
679,K,Be,Ni,F,1.64,0.45,0.690,1.33,0.82,1.57,1.91,3.98,K2BeNiF6,-1.386804281,5.612
682,K,Be,Zn,F,1.64,0.45,0.740,1.33,0.82,1.57,1.65,3.98,K2BeZnF6,-2.805830651,5.445
683,K,Be,Mn,F,1.64,0.45,0.67,1.33,0.82,1.57,1.55,3.98,K2BeMnF6,-2.920089579,5.364
699,K,Be,Pb,F,1.64,0.45,1.19,1.33,0.82,1.57,2.33,3.98,K2BePbF6,-2.771178006,4.97
713,K,Be,Ca,Cl,1.64,0.45,1.00,1.81,0.82,1.57,1,3.16,K2BeCaCl6,-1.776545911,4.833
719,K,Be,Cd,F,1.64,0.45,0.95,1.33,0.82,1.57,1.69,3.98,K2BeCdF6,-2.758874183,4.711
721,K,Be,Sr,Cl,1.64,0.45,1.18,1.81,0.82,1.57,0.95,3.16,K2BeSrCl6,-1.777634309,4.682
727,K,Be,Ge,F,1.64,0.45,0.73,1.33,0.82,1.57,2.01,3.98,K2BeGeF6,-2.710215048,4.595
744,K,Be,Fe,F,1.64,0.45,0.61,1.33,0.82,1.57,1.83,3.98,K2BeFeF6,-2.599634757,4.353
755,K,Be,Sn,F,1.64,0.45,1.0,1.33,0.82,1.57,1.96,3.98,K2BeSnF6,-2.744131963,4.131
815,K,Be,V,F,1.64,0.45,0.79,1.33,0.82,1.57,1.63,3.98,K2BeVF6,-2.923499344,3.644
826,K,Be,Sr,Br,1.64,0.45,1.18,1.96,0.82,1.57,0.95,2.96,K2BeSrBr6,-1.471988625,3.543
846,K,Be,Ca,Br,1.64,0.45,1.00,1.96,0.82,1.57,1,2.96,K2BeCaBr6,-1.460706727,3.423
851,K,Be,Mg,Cl,1.64,0.45,0.720,1.81,0.82,1.57,1.31,3.16,K2BeMgCl6,-1.603116343,3.395
852,K,Be,Pb,Cl,1.64,0.45,1.19,1.81,0.82,1.57,2.33,3.16,K2BePbCl6,-1.379840979,3.359
952,K,Be,Ni,Cl,1.64,0.45,0.690,1.81,0.82,1.57,1.91,3.16,K2BeNiCl6,-1.162065754,2.722
958,K,Be,Ge,Cl,1.64,0.45,0.73,1.81,0.82,1.57,2.01,3.16,K2BeGeCl6,-1.293701521,2.662
964,K,Be,Hg,F,1.64,0.45,1.02,1.33,0.82,1.57,2,3.98,K2BeHgF6,-2.516079309,2.631
969,K,Be,Sn,Cl,1.64,0.45,1.0,1.81,0.82,1.57,1.96,3.16,K2BeSnCl6,-1.343034936,2.612
985,K,Be,Pb,Br,1.64,0.45,1.19,1.96,0.82,1.57,2.33,2.96,K2BePbBr6,-1.109129045,2.527
1022,K,Be,Mn,Cl,1.64,0.45,0.67,1.81,0.82,1.57,1.55,3.16,K2BeMnCl6,-1.374039287,2.23
1034,K,Be,Tm,F,1.64,0.45,1.03,1.33,0.82,1.57,1.25,3.98,K2BeTmF6,-2.603814871,2.143
1038,K,Be,Sr,I,1.64,0.45,1.18,2.20,0.82,1.57,0.95,2.66,K2BeSrI6,-1.06480811,2.12
1046,K,Be,Cd,Cl,1.64,0.45,0.95,1.81,0.82,1.57,1.69,3.16,K2BeCdCl6,-1.360218906,2.096
1076,K,Be,Sn,Br,1.64,0.45,1.0,1.96,0.82,1.57,1.96,2.96,K2BeSnBr6,-1.075149502,1.897
1078,K,Be,Zn,Cl,1.64,0.45,0.740,1.81,0.82,1.57,1.65,3.16,K2BeZnCl6,-1.348900124,1.864
1084,K,Be,Ca,I,1.64,0.45,1.00,2.20,0.82,1.57,1,2.66,K2BeCaI6,-1.043577212,1.838
1085,K,Be,Mg,Br,1.64,0.45,0.720,1.96,0.82,1.57,1.31,2.96,K2BeMgBr6,-1.274280408,1.838
1122,K,Be,Pb,I,1.64,0.45,1.19,2.20,0.82,1.57,2.33,2.66,K2BePbI6,-0.74679353,1.548
1133,K,Be,Ni,Br,1.64,0.45,0.690,1.96,0.82,1.57,1.91,2.96,K2BeNiBr6,-0.87421082,1.505
1139,K,Be,V,Cl,1.64,0.45,0.79,1.81,0.82,1.57,1.63,3.16,K2BeVCl6,-1.365954817,1.451
1176,K,Be,Mn,Br,1.64,0.45,0.67,1.96,0.82,1.57,1.55,2.96,K2BeMnBr6,-1.068773103,1.204
1181,K,Be,Sn,I,1.64,0.45,1.0,2.20,0.82,1.57,1.96,2.66,K2BeSnI6,-0.716734737,1.172
1183,K,Be,Dy,F,1.64,0.45,1.07,1.33,0.82,1.57,1.22,3.98,K2BeDyF6,-2.914908527,1.167
1194,K,Be,Ge,I,1.64,0.45,0.73,2.20,0.82,1.57,2.01,2.66,K2BeGeI6,-0.661448322,1.121
1239,K,Be,Hg,Cl,1.64,0.45,1.02,1.81,0.82,1.57,2,3.16,K2BeHgCl6,-1.197201032,0.9
1255,K,Be,Tm,Cl,1.64,0.45,1.03,1.81,0.82,1.57,1.25,3.16,K2BeTmCl6,-1.569206345,0.833
1267,K,Be,Cd,Br,1.64,0.45,0.95,1.96,0.82,1.57,1.69,2.96,K2BeCdBr6,-1.078174972,0.776
1274,K,Be,Dy,Cl,1.64,0.45,1.07,1.81,0.82,1.57,1.22,3.16,K2BeDyCl6,-1.55884975,0.751
1341,K,Be,Zn,Br,1.64,0.45,0.740,1.96,0.82,1.57,1.65,2.96,K2BeZnBr6,-1.05223369,0.46
1360,K,Be,Mg,I,1.64,0.45,0.720,2.20,0.82,1.57,1.31,2.66,K2BeMgI6,-0.851197893,0.402
1409,K,Be,Mn,I,1.64,0.45,0.67,2.20,0.82,1.57,1.55,2.66,K2BeMnI6,-0.671379588,0.2
1422,K,Be,V,Br,1.64,0.45,0.79,1.96,0.82,1.57,1.63,2.96,K2BeVBr6,-1.046140883,0.153
1449,K,Be,Cr,I,1.64,0.45,0.73,2.20,0.82,1.57,1.66,2.66,K2BeCrI6,-0.625533988,0.025
1473,K,Be,Np,F,1.64,0.45,1.10,1.33,0.82,1.57,1.36,3.98,K2BeNpF6,-2.740967743,0.002
1489,Na,Be,Mg,F,1.39,0.45,0.720,1.33,0.93,1.57,1.31,3.98,Na2BeMgF6,-3.170528808,6.541
1494,Na,Be,Ca,F,1.39,0.45,1.00,1.33,0.93,1.57,1,3.98,Na2BeCaF6,-3.194436626,5.724
1504,Na,Be,Zn,F,1.39,0.45,0.740,1.33,0.93,1.57,1.65,3.98,Na2BeZnF6,-2.774509839,5.147
1505,Na,Be,Sr,F,1.39,0.45,1.18,1.33,0.93,1.57,0.95,3.98,Na2BeSrF6,-3.118988024,5.145
1512,Na,Be,Cd,F,1.39,0.45,0.95,1.33,0.93,1.57,1.69,3.98,Na2BeCdF6,-2.672061872,4.463
1513,Na,Be,Fe,F,1.39,0.45,0.61,1.33,0.93,1.57,1.83,3.98,Na2BeFeF6,-2.584174446,4.456
1516,Na,Be,Pb,F,1.39,0.45,1.19,1.33,0.93,1.57,2.33,3.98,Na2BePbF6,-2.647525945,4.356
1521,Na,Be,Ge,F,1.39,0.45,0.73,1.33,0.93,1.57,2.01,3.98,Na2BeGeF6,-2.626519487,4.161
1532,Na,Be,Ca,Cl,1.39,0.45,1.00,1.81,0.93,1.57,1,3.16,Na2BeCaCl6,-1.618849599,3.981
1548,Na,Be,Sr,Cl,1.39,0.45,1.18,1.81,0.93,1.57,0.95,3.16,Na2BeSrCl6,-1.608434497,3.745
1556,Na,Be,Mn,F,1.39,0.45,0.67,1.33,0.93,1.57,1.55,3.98,Na2BeMnF6,-2.865976018,3.632
1563,Na,Be,Sn,F,1.39,0.45,1.0,1.33,0.93,1.57,1.96,3.98,Na2BeSnF6,-2.632328152,3.542
1565,Na,Be,Mg,Cl,1.39,0.45,0.720,1.81,0.93,1.57,1.31,3.16,Na2BeMgCl6,-1.464557281,3.523
1580,Na,Be,Pb,Cl,1.39,0.45,1.19,1.81,0.93,1.57,2.33,3.16,Na2BePbCl6,-1.207394168,3.334
1590,Na,Be,Co,F,1.39,0.45,0.65,1.33,0.93,1.57,1.88,3.98,Na2BeCoF6,-2.57331562,3.257
1613,Na,Be,Ca,Br,1.39,0.45,1.00,1.96,0.93,1.57,1,2.96,Na2BeCaBr6,-1.292190665,3.039
1628,Na,Be,Sr,Br,1.39,0.45,1.18,1.96,0.93,1.57,0.95,2.96,Na2BeSrBr6,-1.295801563,2.919
1667,Na,Be,Ni,Cl,1.39,0.45,0.690,1.81,0.93,1.57,1.91,3.16,Na2BeNiCl6,-1.033490443,2.736
1681,Na,Be,Ge,Cl,1.39,0.45,0.73,1.81,0.93,1.57,2.01,3.16,Na2BeGeCl6,-1.13951021,2.633
1692,Na,Be,Sn,Cl,1.39,0.45,1.0,1.81,0.93,1.57,1.96,3.16,Na2BeSnCl6,-1.174551625,2.572
1695,Na,Be,Hg,F,1.39,0.45,1.02,1.33,0.93,1.57,2,3.98,Na2BeHgF6,-2.411623748,2.556
1699,Na,Be,Pb,Br,1.39,0.45,1.19,1.96,0.93,1.57,2.33,2.96,Na2BePbBr6,-0.931882484,2.547
1715,Na,Be,V,F,1.39,0.45,0.79,1.33,0.93,1.57,1.63,3.98,Na2BeVF6,-2.874298533,2.406
1759,Na,Be,Cd,Cl,1.39,0.45,0.95,1.81,0.93,1.57,1.69,3.16,Na2BeCdCl6,-1.205866095,2.232
1764,Na,Be,Mn,Cl,1.39,0.45,0.67,1.81,0.93,1.57,1.55,3.16,Na2BeMnCl6,-1.233362976,2.22
1783,Na,Be,Sr,I,1.39,0.45,1.18,2.20,0.93,1.57,0.95,2.66,Na2BeSrI6,-0.880418798,2.127
1803,Na,Be,Zn,Cl,1.39,0.45,0.740,1.81,0.93,1.57,1.65,3.16,Na2BeZnCl6,-1.211921812,1.991
1816,Na,Be,Mg,Br,1.39,0.45,0.720,1.96,0.93,1.57,1.31,2.96,Na2BeMgBr6,-1.117981097,1.905
1818,Na,Be,Ge,Br,1.39,0.45,0.73,1.96,0.93,1.57,2.01,2.96,Na2BeGeBr6,-0.856886026,1.897
1820,Na,Be,Sn,Br,1.39,0.45,1.0,1.96,0.93,1.57,1.96,2.96,Na2BeSnBr6,-0.900612441,1.886
1829,Na,Be,Ca,I,1.39,0.45,1.00,2.20,0.93,1.57,1,2.66,Na2BeCaI6,-0.8639729,1.818
1836,Na,Be,Tm,F,1.39,0.45,1.03,1.33,0.93,1.57,1.25,3.98,Na2BeTmF6,-2.42026456,1.751
1881,Na,Be,Pb,I,1.39,0.45,1.19,2.20,0.93,1.57,2.33,2.66,Na2BePbI6,-0.563443743,1.561
1933,Na,Be,Mn,Br,1.39,0.45,0.67,1.96,0.93,1.57,1.55,2.96,Na2BeMnBr6,-0.912760542,1.193
1941,Na,Be,Ge,I,1.39,0.45,0.73,2.20,0.93,1.57,2.01,2.66,Na2BeGeI6,-0.487951011,1.127
1943,Na,Be,Sn,I,1.39,0.45,1.0,2.20,0.93,1.57,1.96,2.66,Na2BeSnI6,-0.536336901,1.113
1950,Na,Be,Hg,Cl,1.39,0.45,1.02,1.81,0.93,1.57,2,3.16,Na2BeHgCl6,-1.036861971,1.054
1991,Na,Be,Cd,Br,1.39,0.45,0.95,1.96,0.93,1.57,1.69,2.96,Na2BeCdBr6,-0.912154911,0.83
2055,Na,Be,Zn,Br,1.39,0.45,0.740,1.96,0.93,1.57,1.65,2.96,Na2BeZnBr6,-0.898076628,0.511
2074,Na,Be,V,Cl,1.39,0.45,0.79,1.81,0.93,1.57,1.63,3.16,Na2BeVCl6,-1.228818006,0.445
