 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.39220000E+00  0.31433691E+05  0.31433691E+05  0.31433691E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40040000E+00  0.31772411E+05  0.31772411E+05  0.31772411E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40860000E+00  0.32108152E+05  0.32108152E+05  0.32108152E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41680000E+00  0.32441824E+05  0.32441824E+05  0.32441824E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42490000E+00  0.32765238E+05  0.32765238E+05  0.32765238E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43310000E+00  0.33093271E+05  0.33093271E+05  0.33093271E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44130000E+00  0.33418879E+05  0.33418879E+05  0.33418879E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44940000E+00  0.33733777E+05  0.33733777E+05  0.33733777E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45760000E+00  0.34055276E+05  0.34055276E+05  0.34055276E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46580000E+00  0.34373359E+05  0.34374980E+05  0.34373359E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47400000E+00  0.34690251E+05  0.34690251E+05  0.34690251E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48210000E+00  0.34997691E+05  0.34997691E+05  0.34997691E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49030000E+00  0.35310849E+05  0.35310849E+05  0.35310849E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49850000E+00  0.35621219E+05  0.35621219E+05  0.35621219E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50660000E+00  0.35922201E+05  0.35922201E+05  0.35922201E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51480000E+00  0.36230406E+05  0.36230406E+05  0.36228528E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52300000E+00  0.36535490E+05  0.36535490E+05  0.36535490E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53120000E+00  0.36837840E+05  0.36837840E+05  0.36837840E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53930000E+00  0.37132984E+05  0.37132984E+05  0.37132984E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.54750000E+00  0.37433227E+05  0.37433227E+05  0.37433227E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55570000E+00  0.37732050E+05  0.37732050E+05  0.37732050E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56380000E+00  0.38023136E+05  0.38023136E+05  0.38023136E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57200000E+00  0.38318260E+05  0.38320453E+05  0.38318260E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.58020000E+00  0.38613174E+05  0.38613174E+05  0.38613174E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.58840000E+00  0.38906042E+05  0.38908328E+05  0.38906042E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59650000E+00  0.39192944E+05  0.39192944E+05  0.39192944E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
